mem_addr,lat,lon,gps_altitude,baro_altitude,temp,pres,timestamp,aux_data,realtime
1220,40.1112518311,-88.2290267944,184.2910003662,1320.0000000000,0.0000000000,0.0000000000,74744,1388314624,67.66
1240,40.1112518311,-88.2290267944,184.2910003662,1330.0000000000,0.0000000000,0.0000000000,75245,1388314624,68.17
1260,40.1112518311,-88.2290267944,184.2910003662,1340.0000000000,0.0000000000,0.0000000000,75746,1388314624,68.67
1280,40.1112518311,-88.2290267944,184.2910003662,1350.0000000000,0.0000000000,0.0000000000,76247,1388314624,69.17
12A0,40.1112518311,-88.2290267944,184.2910003662,1359.0000000000,0.0000000000,0.0000000000,76748,1388314624,69.67
12C0,40.1112518311,-88.2290267944,184.2910003662,1369.0000000000,0.0000000000,0.0000000000,77249,1388314624,70.17
12E0,40.1112518311,-88.2290267944,184.2910003662,1379.0000000000,0.0000000000,0.0000000000,77750,1388314624,70.67
1300,40.1112518311,-88.2290267944,184.2910003662,1389.0000000000,0.0000000000,0.0000000000,78413,1388314624,71.33
1320,40.1112518311,-88.2290267944,184.2910003662,1399.0000000000,0.0000000000,0.0000000000,78914,1388314624,71.83
1340,40.1112518311,-88.2290267944,184.2910003662,1409.0000000000,0.0000000000,0.0000000000,79415,1388314624,72.33
1360,40.1112518311,-88.2290267944,184.2910003662,1419.0000000000,0.0000000000,0.0000000000,79916,1388314624,72.84
1380,40.1112518311,-88.2290267944,184.2910003662,1429.0000000000,0.0000000000,0.0000000000,80417,1388314624,73.34
13A0,40.1112518311,-88.2290267944,184.2910003662,1438.0000000000,0.0000000000,0.0000000000,80918,1388314624,73.84
13C0,40.1112518311,-88.2290267944,184.2910003662,1448.0000000000,0.0000000000,0.0000000000,81419,1388314624,74.34
13E0,40.1112518311,-88.2290267944,184.2910003662,1458.0000000000,0.0000000000,0.0000000000,81920,1388314624,74.84
1400,40.1112518311,-88.2290267944,184.2910003662,1468.0000000000,0.0000000000,0.0000000000,82583,1388314624,75.50
1420,40.1112518311,-88.2290267944,184.2910003662,1478.0000000000,0.0000000000,0.0000000000,83084,1388314624,76.00
1440,40.1112518311,-88.2290267944,184.2910003662,1488.0000000000,0.0000000000,0.0000000000,83585,1388314624,76.50
1460,40.1112518311,-88.2290267944,184.2910003662,1498.0000000000,0.0000000000,0.0000000000,84086,1388314624,77.01
1480,40.1112518311,-88.2290267944,184.2910003662,1508.0000000000,0.0000000000,0.0000000000,84587,1388314624,77.51
14A0,40.1112518311,-88.2290267944,184.2910003662,1517.0000000000,0.0000000000,0.0000000000,85088,1388314624,78.01
14C0,40.1112518311,-88.2290267944,184.2910003662,1527.0000000000,0.0000000000,0.0000000000,85589,1388314624,78.51
14E0,40.1112518311,-88.2290267944,184.2910003662,1537.0000000000,0.0000000000,0.0000000000,86090,1388314624,79.01
1500,40.1112518311,-88.2290267944,184.2910003662,1547.0000000000,0.0000000000,0.0000000000,86753,1388314624,79.67
1520,40.1112518311,-88.2290267944,184.2910003662,1557.0000000000,0.0000000000,0.0000000000,87254,1388314624,80.17
1540,40.1112518311,-88.2290267944,184.2910003662,1567.0000000000,0.0000000000,0.0000000000,87755,1388314624,80.68
1560,40.1112518311,-88.2290267944,184.2910003662,1577.0000000000,0.0000000000,0.0000000000,88256,1388314624,81.18
1580,40.1112518311,-88.2290267944,184.2910003662,1587.0000000000,0.0000000000,0.0000000000,88757,1388314624,81.68
15A0,40.1112518311,-88.2290267944,184.2910003662,1596.0000000000,0.0000000000,0.0000000000,89258,1388314624,82.18
15C0,40.1112518311,-88.2290267944,184.2910003662,1606.0000000000,0.0000000000,0.0000000000,89759,1388314624,82.68
15E0,40.1112518311,-88.2290267944,184.2910003662,1616.0000000000,0.0000000000,0.0000000000,90260,1388314624,83.18
1600,40.1112518311,-88.2290267944,184.2910003662,1626.0000000000,0.0000000000,0.0000000000,90922,1388314624,83.84
1620,40.1112518311,-88.2290267944,184.2910003662,1636.0000000000,0.0000000000,0.0000000000,91423,1388314624,84.34
1640,40.1112518311,-88.2290267944,184.2910003662,1646.0000000000,0.0000000000,0.0000000000,91924,1388314624,84.84
1660,40.1109085083,-88.2289886475,192.8350067139,1656.0000000000,0.0000000000,0.0000000000,92425,1421869056,85.35
1680,40.1109085083,-88.2289886475,192.8350067139,1666.0000000000,0.0000000000,0.0000000000,92926,1421869056,85.85
16A0,40.1109085083,-88.2289886475,192.8350067139,1675.0000000000,0.0000000000,0.0000000000,93427,1421869056,86.35
16C0,40.1109085083,-88.2289886475,192.8350067139,1685.0000000000,0.0000000000,0.0000000000,93928,1421869056,86.85
16E0,40.1109085083,-88.2289886475,192.8350067139,1695.0000000000,0.0000000000,0.0000000000,94429,1421869056,87.35
1700,40.1109085083,-88.2289886475,192.8350067139,1705.0000000000,0.0000000000,0.0000000000,95092,1421869056,88.01
1720,40.1109085083,-88.2289886475,192.8350067139,1715.0000000000,0.0000000000,0.0000000000,95593,1421869056,88.51
1740,40.1109085083,-88.2289886475,192.8350067139,1725.0000000000,0.0000000000,0.0000000000,96094,1421869056,89.01
1760,40.1109085083,-88.2289886475,192.8350067139,1735.0000000000,0.0000000000,0.0000000000,96595,1421869056,89.51
1780,40.1109085083,-88.2289886475,192.8350067139,1745.0000000000,0.0000000000,0.0000000000,97096,1421869056,90.02
17A0,40.1109085083,-88.2289886475,192.8350067139,1754.0000000000,0.0000000000,0.0000000000,97597,1421869056,90.52
17C0,40.1109085083,-88.2289886475,192.8350067139,1764.0000000000,0.0000000000,0.0000000000,98098,1421869056,91.02
17E0,40.1109085083,-88.2289886475,192.8350067139,1774.0000000000,0.0000000000,0.0000000000,98599,1421869056,91.52
1800,40.1109085083,-88.2289886475,192.8350067139,1784.0000000000,0.0000000000,0.0000000000,99262,1421869056,92.18
1820,40.1109085083,-88.2289886475,192.8350067139,1794.0000000000,0.0000000000,0.0000000000,99763,1421869056,92.68
1840,40.1109085083,-88.2289886475,192.8350067139,1804.0000000000,0.0000000000,0.0000000000,100264,1421869056,93.18
1860,40.1109085083,-88.2289886475,192.8350067139,1814.0000000000,0.0000000000,0.0000000000,100765,1421869056,93.68
1880,40.1109085083,-88.2289886475,192.8350067139,1824.0000000000,0.0000000000,0.0000000000,101266,1421869056,94.19
18A0,40.1109085083,-88.2289886475,192.8350067139,1833.0000000000,0.0000000000,0.0000000000,101767,1421869056,94.69
18C0,40.1109085083,-88.2289886475,192.8350067139,1843.0000000000,0.0000000000,0.0000000000,102268,1421869056,95.19
18E0,40.1109085083,-88.2289886475,192.8350067139,1853.0000000000,0.0000000000,0.0000000000,102769,1421869056,95.69
1900,40.1109085083,-88.2289886475,192.8350067139,1863.0000000000,0.0000000000,0.0000000000,103432,1421869056,96.35
1920,40.1109085083,-88.2289886475,192.8350067139,1873.0000000000,0.0000000000,0.0000000000,103933,1421869056,96.85
1940,40.1109085083,-88.2289886475,192.8350067139,1883.0000000000,0.0000000000,0.0000000000,104434,1421869056,97.35
1960,40.1109085083,-88.2289886475,192.8350067139,1893.0000000000,0.0000000000,0.0000000000,104935,1421869056,97.86
1980,40.1109085083,-88.2289886475,192.8350067139,1903.0000000000,0.0000000000,0.0000000000,105436,1421869056,98.36
19A0,40.1109085083,-88.2289886475,192.8350067139,1912.0000000000,0.0000000000,0.0000000000,105937,1421869056,98.86
19C0,40.1109085083,-88.2289886475,192.8350067139,1922.0000000000,0.0000000000,0.0000000000,106438,1421869056,99.36
19E0,40.1109085083,-88.2289886475,192.8350067139,1932.0000000000,0.0000000000,0.0000000000,106939,1421869056,99.86
1A00,40.1109085083,-88.2289886475,192.8350067139,1942.0000000000,0.0000000000,0.0000000000,107601,1421869056,100.52
1A20,40.1109085083,-88.2289886475,192.8350067139,1952.0000000000,0.0000000000,0.0000000000,108102,1421869056,101.02
1A40,40.1109085083,-88.2289886475,192.8350067139,1962.0000000000,0.0000000000,0.0000000000,108603,1421869056,101.52
1A60,40.1109085083,-88.2289886475,192.8350067139,1972.0000000000,0.0000000000,0.0000000000,109104,1421869056,102.02
1A80,40.1109085083,-88.2289886475,192.8350067139,1982.0000000000,0.0000000000,0.0000000000,109605,1421869056,102.53
1AA0,40.1109085083,-88.2289886475,192.8350067139,1991.0000000000,0.0000000000,0.0000000000,110106,1421869056,103.03
1AC0,40.1109085083,-88.2289886475,192.8350067139,2001.0000000000,0.0000000000,0.0000000000,110607,1421869056,103.53
1AE0,40.1109085083,-88.2289886475,192.8350067139,2011.0000000000,0.0000000000,0.0000000000,111108,1421869056,104.03
1B00,40.1109085083,-88.2289886475,192.8350067139,2021.0000000000,0.0000000000,0.0000000000,111771,1421869056,104.69
1B20,40.1109085083,-88.2289886475,192.8350067139,2031.0000000000,0.0000000000,0.0000000000,112272,1421869056,105.19
1B40,40.1109085083,-88.2289886475,192.8350067139,2041.0000000000,0.0000000000,0.0000000000,112773,1421869056,105.69
1B60,40.1109085083,-88.2289886475,192.8350067139,2051.0000000000,0.0000000000,0.0000000000,113274,1421869056,106.19
1B80,40.1109085083,-88.2289886475,192.8350067139,2061.0000000000,0.0000000000,0.0000000000,113775,1421869056,106.69
1BA0,40.1109085083,-88.2289886475,192.8350067139,2070.0000000000,0.0000000000,0.0000000000,114276,1421869056,107.20
1BC0,40.1109085083,-88.2289886475,192.8350067139,2080.0000000000,0.0000000000,0.0000000000,114777,1421869056,107.70
1BE0,40.1109085083,-88.2289886475,192.8350067139,2090.0000000000,0.0000000000,0.0000000000,115278,1421869056,108.20
1C00,40.1109085083,-88.2289886475,192.8350067139,2100.0000000000,0.0000000000,0.0000000000,115941,1421869056,108.86
1C20,40.1109085083,-88.2289886475,192.8350067139,2110.0000000000,0.0000000000,0.0000000000,116442,1421869056,109.36
1C40,40.1109085083,-88.2289886475,192.8350067139,2120.0000000000,0.0000000000,0.0000000000,116943,1421869056,109.86
1C60,40.1109085083,-88.2289886475,192.8350067139,2130.0000000000,0.0000000000,0.0000000000,117444,1421869056,110.36
1C80,40.1109085083,-88.2289886475,192.8350067139,2140.0000000000,0.0000000000,0.0000000000,117945,1421869056,110.86
1CA0,40.1109085083,-88.2289886475,192.8350067139,2149.0000000000,0.0000000000,0.0000000000,118446,1421869056,111.37
1CC0,40.1109085083,-88.2289886475,192.8350067139,2159.0000000000,0.0000000000,0.0000000000,118947,1421869056,111.87
1CE0,40.1109085083,-88.2289886475,192.8350067139,2169.0000000000,0.0000000000,0.0000000000,119448,1421869056,112.37
1D00,40.1109085083,-88.2289886475,192.8350067139,2179.0000000000,0.0000000000,0.0000000000,120111,1421869056,113.03
1D20,40.1109085083,-88.2289886475,192.8350067139,2189.0000000000,0.0000000000,0.0000000000,120612,1421869056,113.53
1D40,40.1109085083,-88.2289886475,192.8350067139,2199.0000000000,0.0000000000,0.0000000000,121113,1421869056,114.03
1D60,40.1109085083,-88.2289886475,192.8350067139,2209.0000000000,0.0000000000,0.0000000000,121614,1421869056,114.53
1D80,40.1109085083,-88.2289886475,192.8350067139,2219.0000000000,0.0000000000,0.0000000000,122115,1421869056,115.04
1DA0,40.1109085083,-88.2289886475,192.8350067139,2228.0000000000,0.0000000000,0.0000000000,122616,1421869056,115.54
1DC0,40.1109085083,-88.2289886475,192.8350067139,2238.0000000000,0.0000000000,0.0000000000,123117,1421869056,116.04
1DE0,40.1109085083,-88.2289886475,192.8350067139,2248.0000000000,0.0000000000,0.0000000000,123618,1421869056,116.54
1E00,40.1109085083,-88.2289886475,192.8350067139,2258.0000000000,0.0000000000,0.0000000000,124281,1421869056,117.20
1E20,40.1109085083,-88.2289886475,192.8350067139,2268.0000000000,0.0000000000,0.0000000000,124782,1421869056,117.70
1E40,40.1109085083,-88.2289886475,192.8350067139,2278.0000000000,0.0000000000,0.0000000000,125283,1421869056,118.20
1E60,40.1109085083,-88.2289886475,192.8350067139,2288.0000000000,0.0000000000,0.0000000000,125784,1421869056,118.70
